#resol	r_acc	acc_mass		acc_a/acc_b	res_b/res_a			acc_a/acc_b	racc_a/racc_b
100000	0,0001	0,000530101		3,082609649	2,5			2,754716981	10
100000	0,001	0,001460277		2,745442386	2,5			9,410958904	5
100000	0,005	0,013742611		1,406612217	2,5			25,9245283	50
									
250000	0,0001	0,000171965		3,184102443	2			3,093023256	10
250000	0,001	0,000531891		3,498810243	2			18,36842105	5
250000	0,005	0,009770007		1,372771096	2			56,81395349	50
									
500000	0,0001	5,40E-05		1,84123068	1,5			2,814814815	10
500000	0,001	0,000152021		2,000349381	1,5			46,81597676	5
500000	0,005	0,007116996		1,209049531	1,5			131,778305	50
									
750000	0,0001	2,93E-05		1,333451107	1,333333333			2,590909091	10
750000	0,001	7,60E-05		1,520134261	1,333333333			77,45614035	5
750000	0,005	0,005886439		1,183354098	1,333333333			200,6818182	50
									
1000000	0,0001	2,20E-05		4,190045674	4			2,272727273	10
1000000	0,001	5,00E-05		4,544987559	4			99,5	5
1000000	0,005	0,004974368						226,1363636	50
									
4000000	0,0001	5,25E-06							
4000000	0,001	1,10E-05							
									
									
2000000	0,001	1,80E-05							
