#Accretion angular momentum 
#as function of Black Hole Mass
#rc_a and rc_b are bracketing the circularization radius,
#at which gas with initial angular momentum l_acc
#circularizes, which thus is the accretion radius
#
#l_acc, mbh, log(l_acc), log(mbh), rc_a, rc_b
0.000300 0.000100 -3.522879 -4.000000 0.001480 0.000885
0.000400 0.000200 -3.397940 -3.698970 0.001222 0.000795
0.000500 0.000300 -3.301030 -3.522879 0.001184 0.000829
0.000600 0.000400 -3.221849 -3.397940 0.001212 0.000896
0.000700 0.000500 -3.154902 -3.301030 0.001267 0.000975
0.000700 0.000600 -3.154902 -3.221849 0.001061 0.000815
0.000800 0.000700 -3.096910 -3.154902 0.001151 0.000912
0.000800 0.000800 -3.096910 -3.096910 0.001009 0.000799
0.000900 0.000900 -3.045758 -3.045757 0.001107 0.000898
0.001000 0.001000 -3.000000 -3.000000 0.001205 0.000998
0.001000 0.001100 -3.000000 -2.958607 0.001097 0.000908
0.001000 0.001200 -3.000000 -2.920819 0.001006 0.000832
0.001100 0.001300 -2.958607 -2.886057 0.001105 0.000929
0.001100 0.001400 -2.958607 -2.853872 0.001027 0.000863
0.001200 0.001500 -2.920819 -2.823909 0.001124 0.000959
0.001200 0.001600 -2.920819 -2.795880 0.001054 0.000899
0.001300 0.001700 -2.886057 -2.769551 0.001150 0.000993
0.001300 0.001800 -2.886057 -2.744728 0.001087 0.000938
0.001300 0.001900 -2.886057 -2.721247 0.001030 0.000889
0.001400 0.002000 -2.853872 -2.698970 0.001123 0.000979
0.001400 0.002100 -2.853872 -2.677781 0.001070 0.000932
0.001400 0.002200 -2.853872 -2.657577 0.001021 0.000890
0.001500 0.002300 -2.823909 -2.638272 0.001111 0.000977
0.001500 0.002400 -2.823909 -2.619789 0.001065 0.000937
0.001500 0.002500 -2.823909 -2.602060 0.001023 0.000899
0.001600 0.002600 -2.795880 -2.585027 0.001110 0.000984
0.001600 0.002700 -2.795880 -2.568636 0.001069 0.000947
0.001600 0.002800 -2.795880 -2.552842 0.001031 0.000914
0.001700 0.002900 -2.769551 -2.537602 0.001116 0.000996
0.001700 0.003000 -2.769551 -2.522879 0.001079 0.000963
0.001700 0.003100 -2.769551 -2.508638 0.001044 0.000932
0.001700 0.003200 -2.769551 -2.494850 0.001012 0.000903
0.001800 0.003300 -2.744728 -2.481486 0.001093 0.000981
0.001800 0.003400 -2.744728 -2.468521 0.001061 0.000952
0.001800 0.003500 -2.744728 -2.455932 0.001031 0.000925
0.001800 0.003600 -2.744728 -2.443697 0.001002 0.000900
0.001900 0.003700 -2.721247 -2.431798 0.001080 0.000975
0.001900 0.003800 -2.721247 -2.420216 0.001052 0.000949
0.001900 0.003900 -2.721247 -2.408935 0.001025 0.000925
0.002000 0.004000 -2.698970 -2.397940 0.001102 0.000999
0.002000 0.004100 -2.698970 -2.387216 0.001075 0.000975
0.002000 0.004200 -2.698970 -2.376751 0.001049 0.000952
0.002000 0.004300 -2.698970 -2.366532 0.001025 0.000930
0.002000 0.004400 -2.698970 -2.356547 0.001002 0.000909
0.002100 0.004500 -2.677781 -2.346788 0.001075 0.000979
0.002100 0.004600 -2.677781 -2.337242 0.001052 0.000958
0.002100 0.004700 -2.677781 -2.327902 0.001029 0.000938
0.002100 0.004800 -2.677781 -2.318759 0.001008 0.000918
0.002200 0.004900 -2.657577 -2.309804 0.001079 0.000987
0.002200 0.005000 -2.657577 -2.301030 0.001057 0.000968
0.002200 0.005100 -2.657577 -2.292430 0.001037 0.000949
0.002200 0.005200 -2.657577 -2.283997 0.001017 0.000930
0.002300 0.005300 -2.638272 -2.275724 0.001086 0.000998
0.002300 0.005400 -2.638272 -2.267606 0.001066 0.000979
0.002300 0.005500 -2.638272 -2.259637 0.001047 0.000961
0.002300 0.005600 -2.638272 -2.251812 0.001028 0.000944
0.002300 0.005700 -2.638272 -2.244125 0.001010 0.000928
0.002400 0.005800 -2.619789 -2.236572 0.001077 0.000993
0.002400 0.005900 -2.619789 -2.229148 0.001059 0.000976
0.002400 0.006000 -2.619789 -2.221849 0.001041 0.000960
0.002400 0.006100 -2.619789 -2.214670 0.001024 0.000944
0.002400 0.006200 -2.619789 -2.207609 0.001008 0.000929
0.002500 0.006300 -2.602060 -2.200660 0.001072 0.000992
0.002500 0.006400 -2.602060 -2.193820 0.001056 0.000976
0.002500 0.006500 -2.602060 -2.187087 0.001040 0.000961
0.002500 0.006600 -2.602060 -2.180456 0.001024 0.000947
0.002500 0.006700 -2.602060 -2.173925 0.001009 0.000933
0.002600 0.006800 -2.585027 -2.167491 0.001072 0.000994
0.002600 0.006900 -2.585027 -2.161151 0.001056 0.000979
0.002600 0.007000 -2.585027 -2.154902 0.001041 0.000965
0.002600 0.007100 -2.585027 -2.148742 0.001026 0.000952
0.002600 0.007200 -2.585027 -2.142668 0.001012 0.000939
0.002700 0.007300 -2.568636 -2.136677 0.001074 0.000998
0.002700 0.007400 -2.568636 -2.130769 0.001059 0.000985
0.002700 0.007500 -2.568636 -2.124939 0.001045 0.000972
0.002700 0.007600 -2.568636 -2.119187 0.001031 0.000959
0.002700 0.007700 -2.568636 -2.113510 0.001018 0.000946
0.002700 0.007800 -2.568636 -2.107906 0.001005 0.000934
0.002800 0.007900 -2.552842 -2.102373 0.001064 0.000992
0.002800 0.008000 -2.552842 -2.096910 0.001051 0.000980
0.002800 0.008100 -2.552842 -2.091515 0.001038 0.000968
0.002800 0.008200 -2.552842 -2.086186 0.001025 0.000956
0.002800 0.008300 -2.552842 -2.080922 0.001013 0.000944
0.002800 0.008400 -2.552842 -2.075721 0.001001 0.000933
0.002900 0.008500 -2.537602 -2.070581 0.001058 0.000989
0.002900 0.008600 -2.537602 -2.065502 0.001046 0.000978
0.002900 0.008700 -2.537602 -2.060481 0.001034 0.000966
0.002900 0.008800 -2.537602 -2.055518 0.001022 0.000955
0.002900 0.008900 -2.537602 -2.050610 0.001011 0.000945
0.003000 0.009000 -2.522879 -2.045758 0.001067 0.001000
0.003000 0.009100 -2.522879 -2.040959 0.001056 0.000989
0.003000 0.009200 -2.522879 -2.036213 0.001044 0.000978
0.003000 0.009300 -2.522879 -2.031517 0.001033 0.000968
0.003000 0.009400 -2.522879 -2.026873 0.001022 0.000957
0.003000 0.009500 -2.522879 -2.022277 0.001011 0.000947
0.003000 0.009600 -2.522879 -2.017729 0.001001 0.000937
0.003100 0.009700 -2.508638 -2.013229 0.001055 0.000990
0.003100 0.009800 -2.508638 -2.008774 0.001045 0.000980
0.003100 0.009900 -2.508638 -2.004365 0.001034 0.000970
0.003100 0.010000 -2.508638 -2.000000 0.001024 0.000961
0.003100 0.010100 -2.508638 -1.995679 0.001014 0.000951
0.003100 0.010200 -2.508638 -1.991400 0.001004 0.000942
0.003200 0.010300 -2.494850 -1.987163 0.001057 0.000994
0.003200 0.010400 -2.494850 -1.982967 0.001047 0.000984
0.003200 0.010500 -2.494850 -1.978811 0.001037 0.000975
0.003200 0.010600 -2.494850 -1.974695 0.001027 0.000966
0.003200 0.010700 -2.494850 -1.970617 0.001018 0.000957
0.003200 0.010800 -2.494850 -1.966577 0.001008 0.000948
0.003300 0.010900 -2.481486 -1.962574 0.001060 0.000999
0.003300 0.011000 -2.481486 -1.958608 0.001051 0.000990
0.003300 0.011100 -2.481486 -1.954677 0.001041 0.000981
0.003300 0.011200 -2.481486 -1.950782 0.001032 0.000972
0.003300 0.011300 -2.481486 -1.946922 0.001023 0.000964
0.003300 0.011400 -2.481486 -1.943096 0.001014 0.000955
0.003300 0.011500 -2.481486 -1.939303 0.001005 0.000947
0.003400 0.011600 -2.468521 -1.935542 0.001056 0.000996
0.003400 0.011700 -2.468521 -1.931815 0.001047 0.000988
0.003400 0.011800 -2.468521 -1.928118 0.001038 0.000979
0.003400 0.011900 -2.468521 -1.924454 0.001029 0.000971
0.003400 0.012000 -2.468521 -1.920819 0.001021 0.000963
0.003400 0.012100 -2.468521 -1.917215 0.001012 0.000955
0.003400 0.012200 -2.468521 -1.913641 0.001004 0.000947
0.003500 0.012300 -2.455932 -1.910095 0.001053 0.000996
0.003500 0.012400 -2.455932 -1.906579 0.001045 0.000988
0.003500 0.012500 -2.455932 -1.903090 0.001037 0.000980
0.003500 0.012600 -2.455932 -1.899630 0.001028 0.000972
0.003500 0.012700 -2.455932 -1.896197 0.001020 0.000964
0.003500 0.012800 -2.455932 -1.892791 0.001012 0.000957
0.003500 0.012900 -2.455932 -1.889411 0.001004 0.000949
0.003600 0.013000 -2.443697 -1.886057 0.001053 0.000997
0.003600 0.013100 -2.443697 -1.882729 0.001045 0.000989
0.003600 0.013200 -2.443697 -1.879427 0.001037 0.000982
0.003600 0.013300 -2.443697 -1.876149 0.001029 0.000974
0.003600 0.013400 -2.443697 -1.872896 0.001021 0.000967
0.003600 0.013500 -2.443697 -1.869667 0.001014 0.000960
0.003600 0.013600 -2.443697 -1.866462 0.001006 0.000953
0.003700 0.013700 -2.431798 -1.863280 0.001054 0.000999
0.003700 0.013800 -2.431798 -1.860121 0.001046 0.000992
0.003700 0.013900 -2.431798 -1.856986 0.001039 0.000985
0.003700 0.014000 -2.431798 -1.853872 0.001031 0.000978
0.003700 0.014100 -2.431798 -1.850781 0.001024 0.000971
0.003700 0.014200 -2.431798 -1.847712 0.001017 0.000964
0.003700 0.014300 -2.431798 -1.844664 0.001010 0.000957
0.003700 0.014400 -2.431798 -1.841638 0.001003 0.000951
0.003800 0.014500 -2.420216 -1.838633 0.001049 0.000996
0.003800 0.014600 -2.420216 -1.835648 0.001042 0.000989
0.003800 0.014700 -2.420216 -1.832683 0.001035 0.000982
0.003800 0.014800 -2.420216 -1.829739 0.001028 0.000976
0.003800 0.014900 -2.420216 -1.826814 0.001021 0.000969
0.003800 0.015000 -2.420216 -1.823909 0.001014 0.000963
0.003800 0.015100 -2.420216 -1.821024 0.001007 0.000956
