#rbin[i] Nr[i] lbin[i] Nl[i]
 0.009184 0.000010 0.000015 0.000080 
 0.009240 0.000000 0.000081 0.000150 
 0.009296 0.000000 0.000146 0.000400 
 0.009352 0.000000 0.000211 0.000350 
 0.009408 0.000000 0.000277 0.000620 
 0.009465 0.000000 0.000342 0.000520 
 0.009521 0.000000 0.000408 0.000750 
 0.009577 0.000000 0.000473 0.000810 
 0.009633 0.000000 0.000538 0.000780 
 0.009689 0.000000 0.000604 0.000980 
 0.009745 0.000000 0.000669 0.000900 
 0.009801 0.000000 0.000734 0.000980 
 0.009858 0.000000 0.000800 0.000930 
 0.009914 0.000000 0.000865 0.001150 
 0.009970 0.000000 0.000931 0.001050 
 0.010026 0.000000 0.000996 0.001180 
 0.010082 0.000000 0.001061 0.001200 
 0.010138 0.000000 0.001127 0.001230 
 0.010194 0.000000 0.001192 0.001170 
 0.010251 0.000000 0.001258 0.001230 
 0.010307 0.000000 0.001323 0.001120 
 0.010363 0.000000 0.001388 0.001230 
 0.010419 0.000000 0.001454 0.001460 
 0.010475 0.000000 0.001519 0.001220 
 0.010531 0.000000 0.001585 0.001080 
 0.010587 0.000000 0.001650 0.001200 
 0.010644 0.000010 0.001715 0.001430 
 0.010700 0.000000 0.001781 0.001190 
 0.010756 0.000000 0.001846 0.001120 
 0.010812 0.000010 0.001911 0.001220 
 0.010868 0.000010 0.001977 0.001210 
 0.010924 0.000010 0.002042 0.001270 
 0.010980 0.000000 0.002108 0.001250 
 0.011037 0.000000 0.002173 0.001140 
 0.011093 0.000000 0.002238 0.001280 
 0.011149 0.000010 0.002304 0.001160 
 0.011205 0.000000 0.002369 0.001120 
 0.011261 0.000000 0.002435 0.001320 
 0.011317 0.000000 0.002500 0.001310 
 0.011373 0.000000 0.002565 0.001220 
 0.011430 0.000010 0.002631 0.001130 
 0.011486 0.000010 0.002696 0.001250 
 0.011542 0.000010 0.002761 0.001280 
 0.011598 0.000000 0.002827 0.001260 
 0.011654 0.000000 0.002892 0.001230 
 0.011710 0.000000 0.002958 0.001180 
 0.011766 0.000000 0.003023 0.001220 
 0.011823 0.000000 0.003088 0.001170 
 0.011879 0.000000 0.003154 0.001290 
 0.011935 0.000010 0.003219 0.001050 
 0.011991 0.000000 0.003285 0.001350 
 0.012047 0.000000 0.003350 0.001220 
 0.012103 0.000000 0.003415 0.001410 
 0.012159 0.000000 0.003481 0.001250 
 0.012216 0.000010 0.003546 0.001420 
 0.012272 0.000000 0.003611 0.001210 
 0.012328 0.000000 0.003677 0.001280 
 0.012384 0.000010 0.003742 0.001280 
 0.012440 0.000000 0.003808 0.001330 
 0.012496 0.000000 0.003873 0.001340 
 0.012552 0.000000 0.003938 0.001220 
 0.012609 0.000010 0.004004 0.001200 
 0.012665 0.000010 0.004069 0.001360 
 0.012721 0.000010 0.004135 0.001310 
 0.012777 0.000010 0.004200 0.001300 
 0.012833 0.000010 0.004265 0.001150 
 0.012889 0.000000 0.004331 0.001220 
 0.012945 0.000000 0.004396 0.001280 
 0.013002 0.000000 0.004461 0.001300 
 0.013058 0.000000 0.004527 0.001410 
 0.013114 0.000000 0.004592 0.001080 
 0.013170 0.000000 0.004658 0.001260 
 0.013226 0.000010 0.004723 0.001200 
 0.013282 0.000000 0.004788 0.001060 
 0.013338 0.000000 0.004854 0.001340 
 0.013395 0.000000 0.004919 0.001410 
 0.013451 0.000000 0.004985 0.001210 
 0.013507 0.000000 0.005050 0.001240 
 0.013563 0.000000 0.005115 0.001170 
 0.013619 0.000010 0.005181 0.001000 
 0.013675 0.000000 0.005246 0.001090 
 0.013731 0.000000 0.005312 0.001350 
 0.013788 0.000000 0.005377 0.001120 
 0.013844 0.000010 0.005442 0.001190 
 0.013900 0.000020 0.005508 0.001160 
 0.013956 0.000010 0.005573 0.001300 
 0.014012 0.000000 0.005638 0.001280 
 0.014068 0.000010 0.005704 0.001060 
 0.014124 0.000000 0.005769 0.001280 
 0.014181 0.000010 0.005835 0.001260 
 0.014237 0.000060 0.005900 0.001330 
 0.014293 0.000020 0.005965 0.001310 
 0.014349 0.000020 0.006031 0.001000 
 0.014405 0.000020 0.006096 0.001460 
 0.014461 0.000000 0.006162 0.001110 
 0.014517 0.000000 0.006227 0.001340 
 0.014574 0.000020 0.006292 0.001230 
 0.014630 0.000010 0.006358 0.001230 
