rbin[i] Nr[i] lbin[i] Nl[i]
 0.005019 0.000010 0.000011 0.000020 
 0.005038 0.000000 0.000033 0.000100 
 0.005056 0.000000 0.000055 0.000160 
 0.005075 0.000000 0.000077 0.000110 
 0.005094 0.000000 0.000100 0.000160 
 0.005112 0.000000 0.000122 0.000260 
 0.005131 0.000000 0.000144 0.000210 
 0.005150 0.000000 0.000166 0.000260 
 0.005168 0.000000 0.000188 0.000340 
 0.005187 0.000000 0.000210 0.000250 
 0.005206 0.000000 0.000232 0.000400 
 0.005224 0.000000 0.000254 0.000380 
 0.005243 0.000000 0.000276 0.000480 
 0.005262 0.000000 0.000298 0.000440 
 0.005281 0.000000 0.000320 0.000400 
 0.005299 0.000000 0.000342 0.000470 
 0.005318 0.000000 0.000364 0.000570 
 0.005337 0.000000 0.000386 0.000480 
 0.005355 0.000000 0.000408 0.000600 
 0.005374 0.000000 0.000430 0.000450 
 0.005393 0.000000 0.000452 0.000690 
 0.005411 0.000010 0.000475 0.000540 
 0.005430 0.000000 0.000497 0.000720 
 0.005449 0.000000 0.000519 0.000640 
 0.005467 0.000000 0.000541 0.000550 
 0.005486 0.000000 0.000563 0.000570 
 0.005505 0.000000 0.000585 0.000610 
 0.005523 0.000000 0.000607 0.000700 
 0.005542 0.000000 0.000629 0.000650 
 0.005561 0.000000 0.000651 0.000570 
 0.005580 0.000000 0.000673 0.000720 
 0.005598 0.000000 0.000695 0.000660 
 0.005617 0.000000 0.000717 0.000620 
 0.005636 0.000000 0.000739 0.000690 
 0.005654 0.000020 0.000761 0.000590 
 0.005673 0.000000 0.000783 0.000590 
 0.005692 0.000000 0.000805 0.000710 
 0.005710 0.000000 0.000827 0.000520 
 0.005729 0.000000 0.000849 0.000730 
 0.005748 0.000000 0.000872 0.000680 
 0.005766 0.000000 0.000894 0.000620 
 0.005785 0.000000 0.000916 0.000750 
 0.005804 0.000000 0.000938 0.000600 
 0.005823 0.000000 0.000960 0.000590 
 0.005841 0.000000 0.000982 0.000550 
 0.005860 0.000000 0.001004 0.000480 
 0.005879 0.000010 0.001026 0.000590 
 0.005897 0.000000 0.001048 0.000550 
 0.005916 0.000000 0.001070 0.000590 
 0.005935 0.000000 0.001092 0.000700 
 0.005953 0.000000 0.001114 0.000550 
 0.005972 0.000000 0.001136 0.000680 
 0.005991 0.000000 0.001158 0.000650 
 0.006009 0.000010 0.001180 0.000580 
 0.006028 0.000000 0.001202 0.000570 
 0.006047 0.000000 0.001224 0.000670 
 0.006065 0.000000 0.001247 0.000560 
 0.006084 0.000000 0.001269 0.000500 
 0.006103 0.000010 0.001291 0.000670 
 0.006122 0.000000 0.001313 0.000600 
 0.006140 0.000000 0.001335 0.000720 
 0.006159 0.000000 0.001357 0.000460 
 0.006178 0.000000 0.001379 0.000470 
 0.006196 0.000010 0.001401 0.000600 
 0.006215 0.000000 0.001423 0.000610 
 0.006234 0.000000 0.001445 0.000550 
 0.006252 0.000000 0.001467 0.000610 
 0.006271 0.000010 0.001489 0.000550 
 0.006290 0.000000 0.001511 0.000650 
 0.006308 0.000000 0.001533 0.000500 
