#rbin[i] Nr[i] lbin[i] Nl[i]
 0.007165 0.000010 0.000024 0.000140 
 0.007187 0.000000 0.000045 0.000060 
 0.007209 0.000000 0.000067 0.000120 
 0.007231 0.000000 0.000089 0.000190 
 0.007253 0.000000 0.000111 0.000230 
 0.007275 0.000000 0.000133 0.000250 
 0.007297 0.000000 0.000155 0.000170 
 0.007319 0.000000 0.000177 0.000420 
 0.007341 0.000000 0.000199 0.000410 
 0.007363 0.000000 0.000221 0.000310 
 0.007384 0.000000 0.000243 0.000370 
 0.007406 0.000000 0.000265 0.000510 
 0.007428 0.000000 0.000287 0.000520 
 0.007450 0.000000 0.000309 0.000590 
 0.007472 0.000000 0.000331 0.000520 
 0.007494 0.000000 0.000353 0.000590 
 0.007516 0.000000 0.000375 0.000640 
 0.007538 0.000000 0.000397 0.000620 
 0.007560 0.000000 0.000419 0.000590 
 0.007582 0.000000 0.000441 0.000800 
 0.007604 0.000000 0.000463 0.000870 
 0.007626 0.000000 0.000485 0.000720 
 0.007648 0.000000 0.000507 0.000740 
 0.007670 0.000000 0.000529 0.000730 
 0.007691 0.000000 0.000551 0.000830 
 0.007713 0.000000 0.000573 0.000850 
 0.007735 0.000000 0.000595 0.000790 
 0.007757 0.000000 0.000617 0.000960 
 0.007779 0.000000 0.000639 0.000880 
 0.007801 0.000000 0.000661 0.000860 
 0.007823 0.000000 0.000683 0.000760 
 0.007845 0.000000 0.000705 0.001120 
 0.007867 0.000000 0.000727 0.000800 
 0.007889 0.000000 0.000749 0.001020 
 0.007911 0.000000 0.000771 0.001060 
 0.007933 0.000000 0.000793 0.000890 
 0.007955 0.000000 0.000815 0.001010 
 0.007977 0.000000 0.000837 0.000790 
 0.007999 0.000010 0.000859 0.001020 
 0.008020 0.000000 0.000881 0.001080 
 0.008042 0.000000 0.000903 0.000910 
 0.008064 0.000000 0.000925 0.001040 
 0.008086 0.000000 0.000947 0.001070 
 0.008108 0.000000 0.000969 0.001030 
 0.008130 0.000000 0.000991 0.001000 
 0.008152 0.000000 0.001013 0.000970 
 0.008174 0.000000 0.001035 0.001040 
 0.008196 0.000000 0.001057 0.001170 
 0.008218 0.000000 0.001079 0.000940 
 0.008240 0.000000 0.001101 0.001030 
 0.008262 0.000000 0.001123 0.001010 
 0.008284 0.000000 0.001145 0.000970 
 0.008306 0.000000 0.001167 0.000970 
 0.008327 0.000000 0.001189 0.000910 
 0.008349 0.000000 0.001211 0.000960 
 0.008371 0.000000 0.001233 0.000970 
 0.008393 0.000000 0.001255 0.001010 
 0.008415 0.000000 0.001277 0.000980 
 0.008437 0.000000 0.001299 0.001080 
 0.008459 0.000000 0.001321 0.001160 
 0.008481 0.000000 0.001343 0.001030 
 0.008503 0.000000 0.001365 0.001030 
 0.008525 0.000000 0.001387 0.000970 
 0.008547 0.000000 0.001409 0.000900 
 0.008569 0.000000 0.001431 0.000890 
 0.008591 0.000000 0.001453 0.001160 
 0.008613 0.000000 0.001475 0.001060 
 0.008635 0.000000 0.001497 0.000880 
 0.008656 0.000000 0.001518 0.000980 
 0.008678 0.000000 0.001540 0.000950 
 0.008700 0.000000 0.001562 0.001020 
 0.008722 0.000020 0.001584 0.000940 
 0.008744 0.000000 0.001606 0.001060 
 0.008766 0.000000 0.001628 0.000950 
 0.008788 0.000000 0.001650 0.001070 
 0.008810 0.000000 0.001672 0.000860 
 0.008832 0.000000 0.001694 0.000920 
 0.008854 0.000010 0.001716 0.000910 
 0.008876 0.000010 0.001738 0.000980 
 0.008898 0.000000 0.001760 0.001090 
 0.008920 0.000000 0.001782 0.000980 
 0.008942 0.000010 0.001804 0.000990 
 0.008963 0.000000 0.001826 0.000840 
 0.008985 0.000000 0.001848 0.000840 
 0.009007 0.000000 0.001870 0.000640 
 0.009029 0.000000 0.001892 0.000900 
 0.009051 0.000010 0.001914 0.000860 
 0.009073 0.000030 0.001936 0.001100 
 0.009095 0.000010 0.001958 0.001020 
 0.009117 0.000000 0.001980 0.000810 
 0.009139 0.000000 0.002002 0.000880 
 0.009161 0.000000 0.002024 0.000800 
 0.009183 0.000000 0.002046 0.000950 
