#rbin[i] Nr[i] lbin[i] Nl[i]
 0.000000 0.000000 0.000000 0.000005 
 0.000030 0.000000 0.000030 0.000020 
 0.000060 0.000000 0.000060 0.000031 
 0.000090 0.000000 0.000090 0.000042 
 0.000120 0.000000 0.000120 0.000057 
 0.000150 0.000000 0.000150 0.000072 
 0.000180 0.000000 0.000180 0.000085 
 0.000210 0.000000 0.000210 0.000100 
 0.000240 0.000000 0.000240 0.000112 
 0.000270 0.000000 0.000270 0.000130 
 0.000300 0.000000 0.000300 0.000146 
 0.000330 0.000000 0.000330 0.000164 
 0.000360 0.000000 0.000360 0.000180 
 0.000390 0.000000 0.000390 0.000198 
 0.000420 0.000000 0.000420 0.000219 
 0.000450 0.000000 0.000450 0.000245 
 0.000480 0.000000 0.000480 0.000261 
 0.000510 0.000000 0.000510 0.000285 
 0.000540 0.000000 0.000540 0.000327 
 0.000570 0.000000 0.000570 0.000352 
 0.000600 0.000000 0.000600 0.000391 
 0.000630 0.000000 0.000630 0.000422 
 0.000660 0.000000 0.000660 0.000473 
 0.000690 0.000000 0.000690 0.000506 
 0.000720 0.000000 0.000720 0.000544 
 0.000750 0.000000 0.000750 0.000599 
 0.000780 0.000000 0.000780 0.000633 
 0.000810 0.000000 0.000810 0.000681 
 0.000840 0.000000 0.000840 0.000718 
 0.000870 0.000000 0.000870 0.000785 
 0.000900 0.000000 0.000900 0.000834 
 0.000930 0.000000 0.000930 0.000884 
 0.000960 0.000000 0.000960 0.000919 
 0.000990 0.000000 0.000990 0.000985 
 0.001020 0.000000 0.001020 0.001027 
 0.001050 0.000000 0.001050 0.001091 
 0.001080 0.000000 0.001080 0.001151 
 0.001110 0.000000 0.001110 0.001208 
 0.001140 0.000000 0.001140 0.001252 
 0.001170 0.000000 0.001170 0.001310 
 0.001200 0.000000 0.001200 0.001376 
 0.001230 0.000000 0.001230 0.001419 
 0.001260 0.000000 0.001260 0.001498 
 0.001290 0.000000 0.001290 0.001554 
 0.001320 0.000000 0.001320 0.001624 
 0.001350 0.000000 0.001350 0.001685 
 0.001380 0.000000 0.001380 0.001758 
 0.001410 0.000000 0.001410 0.001821 
 0.001440 0.000000 0.001440 0.001876 
 0.001470 0.000000 0.001470 0.001959 
 0.001500 0.000000 0.001500 0.002028 
 0.001530 0.000000 0.001530 0.002083 
 0.001560 0.000000 0.001560 0.002158 
 0.001590 0.000000 0.001590 0.002219 
 0.001620 0.000000 0.001620 0.002290 
 0.001650 0.000000 0.001650 0.002332 
 0.001680 0.000000 0.001680 0.002411 
 0.001710 0.000000 0.001710 0.002474 
 0.001740 0.000000 0.001740 0.002521 
 0.001770 0.000000 0.001770 0.002590 
 0.001800 0.000000 0.001800 0.002635 
 0.001830 0.000000 0.001830 0.002666 
 0.001860 0.000000 0.001860 0.002697 
 0.001890 0.000000 0.001890 0.002731 
 0.001920 0.000000 0.001920 0.002776 
 0.001950 0.000000 0.001950 0.002776 
 0.001980 0.000000 0.001980 0.002806 
 0.002010 0.000000 0.002010 0.002826 
 0.002040 0.000000 0.002040 0.002840 
 0.002070 0.000000 0.002070 0.002842 
 0.002100 0.000000 0.002100 0.002851 
 0.002130 0.000000 0.002130 0.002866 
 0.002160 0.000000 0.002160 0.002852 
 0.002190 0.000000 0.002190 0.002845 
 0.002220 0.000000 0.002220 0.002849 
 0.002250 0.000000 0.002250 0.002837 
 0.002280 0.000000 0.002280 0.002814 
