#rbin[i] Nr[i] lbin[i] Nl[i]
 0.000000 0.000000 0.000000 0.000040 
 0.000030 0.000000 0.000030 0.000170 
 0.000060 0.000000 0.000060 0.000190 
 0.000090 0.000000 0.000090 0.000470 
 0.000120 0.000000 0.000120 0.000620 
 0.000150 0.000000 0.000150 0.000550 
 0.000180 0.000000 0.000180 0.000801 
 0.000210 0.000000 0.000210 0.000781 
 0.000240 0.000000 0.000240 0.001041 
 0.000270 0.000000 0.000270 0.000991 
 0.000300 0.000000 0.000300 0.000971 
 0.000330 0.000000 0.000330 0.001181 
 0.000360 0.000000 0.000360 0.001241 
 0.000390 0.000000 0.000390 0.001141 
 0.000420 0.000000 0.000420 0.001261 
 0.000450 0.000000 0.000450 0.001311 
 0.000480 0.000000 0.000480 0.001281 
 0.000510 0.000000 0.000510 0.001391 
 0.000540 0.000000 0.000540 0.001321 
 0.000570 0.000000 0.000570 0.001591 
 0.000600 0.000000 0.000600 0.001501 
 0.000630 0.000000 0.000630 0.001501 
 0.000660 0.000000 0.000660 0.001361 
 0.000690 0.000000 0.000690 0.001451 
 0.000720 0.000000 0.000720 0.001521 
 0.000750 0.000000 0.000750 0.001581 
 0.000780 0.000000 0.000780 0.001441 
 0.000810 0.000010 0.000810 0.001471 
 0.000840 0.000000 0.000840 0.001461 
 0.000870 0.000010 0.000870 0.001441 
 0.000900 0.000010 0.000900 0.001461 
 0.000930 0.000000 0.000930 0.001511 
 0.000960 0.000000 0.000960 0.001521 
 0.000990 0.000010 0.000990 0.001491 
 0.001020 0.000000 0.001020 0.001231 
 0.001050 0.000000 0.001050 0.001581 
 0.001080 0.000000 0.001080 0.001371 
 0.001110 0.000010 0.001110 0.001351 
 0.001140 0.000000 0.001140 0.001651 
 0.001170 0.000000 0.001170 0.001301 
 0.001200 0.000000 0.001200 0.001551 
 0.001230 0.000010 0.001230 0.001341 
 0.001260 0.000000 0.001260 0.001441 
 0.001290 0.000010 0.001290 0.001381 
 0.001320 0.000000 0.001320 0.001391 
 0.001350 0.000010 0.001350 0.001311 
 0.001380 0.000000 0.001380 0.001291 
 0.001410 0.000010 0.001410 0.001301 
 0.001440 0.000000 0.001440 0.001381 
 0.001470 0.000000 0.001470 0.001391 
 0.001500 0.000010 0.001500 0.001481 
 0.001530 0.000000 0.001530 0.001321 
 0.001560 0.000000 0.001560 0.001451 
 0.001590 0.000000 0.001590 0.001111 
 0.001620 0.000000 0.001620 0.001341 
 0.001650 0.000010 0.001650 0.001541 
 0.001680 0.000000 0.001680 0.001271 
 0.001710 0.000020 0.001710 0.001411 
 0.001740 0.000020 0.001740 0.001291 
 0.001770 0.000030 0.001770 0.001401 
 0.001800 0.000030 0.001800 0.001251 
 0.001830 0.000060 0.001830 0.001231 
 0.001860 0.000010 0.001860 0.001571 
 0.001890 0.000020 0.001890 0.001441 
 0.001920 0.000020 0.001920 0.001221 
 0.001950 0.000060 0.001950 0.001241 
 0.001980 0.000130 0.001980 0.001291 
 0.002010 0.000080 0.002010 0.001411 
 0.002040 0.000140 0.002040 0.001451 
 0.002070 0.000120 0.002070 0.001361 
 0.002100 0.000060 0.002100 0.001361 
 0.002130 0.000050 0.002130 0.001151 
 0.002160 0.000050 0.002160 0.001241 
 0.002190 0.000040 0.002190 0.001431 
 0.002220 0.000110 0.002220 0.001281 
 0.002250 0.000130 0.002250 0.001211 
 0.002280 0.000220 0.002280 0.001421 
 0.002310 0.000240 0.002310 0.001321 
 0.002340 0.000180 0.002340 0.001261 
 0.002370 0.000070 0.002370 0.001351 
 0.002400 0.000060 0.002400 0.001191 
 0.002430 0.000010 0.002430 0.001371 
 0.002460 0.000030 0.002460 0.001511 
 0.002490 0.000010 0.002490 0.001291 
 0.002520 0.000020 0.002520 0.001291 
 0.002550 0.000030 0.002550 0.001361 
 0.002580 0.000060 0.002580 0.001241 
 0.002610 0.000090 0.002610 0.001341 
 0.002640 0.000200 0.002640 0.001491 
 0.002670 0.000090 0.002670 0.001131 
 0.002700 0.000080 0.002700 0.001231 
 0.002730 0.000050 0.002730 0.001161 
 0.002760 0.000000 0.002760 0.001311 
 0.002790 0.000000 0.002790 0.001391 
 0.002820 0.000020 0.002820 0.001161 
 0.002850 0.000000 0.002850 0.001241 
 0.002880 0.000030 0.002880 0.001431 
 0.002910 0.000010 0.002910 0.001271 
 0.002940 0.000030 0.002940 0.001271 
 0.002970 0.000020 0.002970 0.001331 
 0.003000 0.000030 0.003000 0.001181 
 0.003030 0.000050 0.003030 0.001351 
 0.003060 0.000090 0.003060 0.001121 
 0.003090 0.000060 0.003090 0.001371 
 0.003120 0.000070 0.003120 0.001201 
 0.003150 0.000050 0.003150 0.001361 
 0.003180 0.000030 0.003180 0.001451 
 0.003210 0.000090 0.003210 0.001391 
 0.003240 0.000080 0.003240 0.001301 
 0.003270 0.000100 0.003270 0.001411 
 0.003300 0.000050 0.003300 0.001071 
 0.003330 0.000140 0.003330 0.001211 
 0.003360 0.000070 0.003360 0.001521 
 0.003390 0.000030 0.003390 0.001251 
 0.003420 0.000010 0.003420 0.001331 
 0.003450 0.000080 0.003450 0.001271 
 0.003480 0.000080 0.003480 0.001261 
 0.003510 0.000090 0.003510 0.001301 
 0.003540 0.000070 0.003540 0.001151 
 0.003570 0.000100 0.003570 0.001301 
 0.003600 0.000120 0.003600 0.001361 
 0.003630 0.000140 0.003630 0.001371 
 0.003660 0.000090 0.003660 0.001371 
 0.003690 0.000150 0.003690 0.001361 
 0.003720 0.000120 0.003720 0.001321 
 0.003750 0.000140 0.003750 0.001421 
 0.003780 0.000110 0.003780 0.001021 
 0.003810 0.000130 0.003810 0.001341 
 0.003840 0.000100 0.003840 0.001501 
 0.003870 0.000120 0.003870 0.001161 
 0.003900 0.000130 0.003900 0.001511 
 0.003930 0.000080 0.003930 0.001131 
 0.003960 0.000110 0.003960 0.001241 
 0.003990 0.000200 0.003990 0.001411 
 0.004020 0.000100 0.004020 0.001491 
 0.004050 0.000150 0.004050 0.001211 
 0.004080 0.000120 0.004080 0.001371 
 0.004110 0.000160 0.004110 0.001231 
 0.004140 0.000110 0.004140 0.001231 
 0.004170 0.000100 0.004170 0.001311 
