#rbin[i] Nr[i] lbin[i] Nl[i]
 0.000000 0.000000 0.000000 0.000072 
 0.000030 0.000001 0.000030 0.000221 
 0.000060 0.000000 0.000060 0.000369 
 0.000090 0.000000 0.000090 0.000497 
 0.000120 0.000000 0.000120 0.000670 
 0.000150 0.000000 0.000150 0.000801 
 0.000180 0.000000 0.000180 0.000877 
 0.000210 0.000000 0.000210 0.001005 
 0.000240 0.000000 0.000240 0.001128 
 0.000270 0.000000 0.000270 0.001184 
 0.000300 0.000000 0.000300 0.001304 
 0.000330 0.000000 0.000330 0.001397 
 0.000360 0.000000 0.000360 0.001426 
 0.000390 0.000000 0.000390 0.001562 
 0.000420 0.000000 0.000420 0.001616 
 0.000450 0.000000 0.000450 0.001642 
 0.000480 0.000000 0.000480 0.001722 
 0.000510 0.000000 0.000510 0.001797 
 0.000540 0.000000 0.000540 0.001826 
 0.000570 0.000000 0.000570 0.001829 
 0.000600 0.000000 0.000600 0.001872 
 0.000630 0.000000 0.000630 0.001966 
 0.000660 0.000000 0.000660 0.001856 
 0.000690 0.000000 0.000690 0.002002 
 0.000720 0.000000 0.000720 0.001983 
 0.000750 0.000000 0.000750 0.002001 
 0.000780 0.000000 0.000780 0.002021 
 0.000810 0.000000 0.000810 0.002021 
 0.000840 0.000000 0.000840 0.001997 
 0.000870 0.000000 0.000870 0.002010 
 0.000900 0.000000 0.000900 0.001981 
 0.000930 0.000000 0.000930 0.001985 
 0.000960 0.000000 0.000960 0.001984 
 0.000990 0.000000 0.000990 0.001978 
 0.001020 0.000000 0.001020 0.001925 
 0.001050 0.000000 0.001050 0.001947 
 0.001080 0.000000 0.001080 0.001870 
 0.001110 0.000000 0.001110 0.001864 
 0.001140 0.000000 0.001140 0.001835 
 0.001170 0.000000 0.001170 0.001824 
 0.001200 0.000000 0.001200 0.001814 
 0.001230 0.000000 0.001230 0.001757 
 0.001260 0.000000 0.001260 0.001789 
 0.001290 0.000000 0.001290 0.001722 
 0.001320 0.000000 0.001320 0.001693 
 0.001350 0.000000 0.001350 0.001715 
 0.001380 0.000000 0.001380 0.001702 
 0.001410 0.000000 0.001410 0.001623 
 0.001440 0.000000 0.001440 0.001724 
 0.001470 0.000000 0.001470 0.001634 
 0.001500 0.000000 0.001500 0.001713 
 0.001530 0.000000 0.001530 0.001658 
 0.001560 0.000000 0.001560 0.001751 
 0.001590 0.000000 0.001590 0.001648 
 0.001620 0.000000 0.001620 0.001734 
 0.001650 0.000000 0.001650 0.001663 
 0.001680 0.000000 0.001680 0.001711 
 0.001710 0.000000 0.001710 0.001780 
 0.001740 0.000000 0.001740 0.001770 
 0.001770 0.000000 0.001770 0.001793 
 0.001800 0.000001 0.001800 0.001795 
 0.001830 0.000001 0.001830 0.001807 
 0.001860 0.000000 0.001860 0.001881 
 0.001890 0.000000 0.001890 0.001908 
 0.001920 0.000002 0.001920 0.001891 
 0.001950 0.000000 0.001950 0.001902 
 0.001980 0.000000 0.001980 0.002015 
 0.002010 0.000000 0.002010 0.001963 
 0.002040 0.000000 0.002040 0.002073 
 0.002070 0.000000 0.002070 0.002069 
 0.002100 0.000001 0.002100 0.002119 
 0.002130 0.000001 0.002130 0.002145 
 0.002160 0.000000 0.002160 0.002154 
 0.002190 0.000000 0.002190 0.002234 
 0.002220 0.000000 0.002220 0.002252 
 0.002250 0.000000 0.002250 0.002298 
 0.002280 0.000001 0.002280 0.002273 
 0.002310 0.000000 0.002310 0.002319 
 0.002340 0.000000 0.002340 0.002358 
 0.002370 0.000000 0.002370 0.002333 
 0.002400 0.000000 0.002400 0.002412 
 0.002430 0.000000 0.002430 0.002404 
 0.002460 0.000001 0.002460 0.002404 
 0.002490 0.000000 0.002490 0.002453 
 0.002520 0.000002 0.002520 0.002384 
 0.002550 0.000001 0.002550 0.002495 
 0.002580 0.000000 0.002580 0.002472 
 0.002610 0.000001 0.002610 0.002497 
 0.002640 0.000001 0.002640 0.002496 
 0.002670 0.000001 0.002670 0.002454 
 0.002700 0.000001 0.002700 0.002499 
 0.002730 0.000002 0.002730 0.002494 
 0.002760 0.000007 0.002760 0.002520 
 0.002790 0.000003 0.002790 0.002491 
 0.002820 0.000004 0.002820 0.002484 
 0.002850 0.000000 0.002850 0.002497 
 0.002880 0.000002 0.002880 0.002424 
 0.002910 0.000008 0.002910 0.002451 
 0.002940 0.000005 0.002940 0.002472 
 0.002970 0.000003 0.002970 0.002414 
 0.003000 0.000004 0.003000 0.002412 
 0.003030 0.000003 0.003030 0.002458 
 0.003060 0.000007 0.003060 0.002420 
 0.003090 0.000003 0.003090 0.002450 
 0.003120 0.000004 0.003120 0.002414 
 0.003150 0.000005 0.003150 0.002387 
 0.003180 0.000002 0.003180 0.002456 
 0.003210 0.000010 0.003210 0.002405 
 0.003240 0.000015 0.003240 0.002468 
 0.003270 0.000009 0.003270 0.002391 
 0.003300 0.000014 0.003300 0.002384 
 0.003330 0.000017 0.003330 0.002369 
 0.003360 0.000014 0.003360 0.002383 
 0.003390 0.000009 0.003390 0.002342 
 0.003420 0.000008 0.003420 0.002304 
 0.003450 0.000015 0.003450 0.002296 
 0.003480 0.000021 0.003480 0.002238 
 0.003510 0.000017 0.003510 0.002211 
 0.003540 0.000016 0.003540 0.002168 
 0.003570 0.000026 0.003570 0.002192 
 0.003600 0.000025 0.003600 0.002058 
 0.003630 0.000016 0.003630 0.002086 
 0.003660 0.000023 0.003660 0.002063 
 0.003690 0.000020 0.003690 0.001928 
 0.003720 0.000033 0.003720 0.001925 
 0.003750 0.000028 0.003750 0.001876 
 0.003780 0.000022 0.003780 0.001838 
 0.003810 0.000019 0.003810 0.001782 
 0.003840 0.000037 0.003840 0.001747 
 0.003870 0.000035 0.003870 0.001709 
 0.003900 0.000032 0.003900 0.001627 
 0.003930 0.000029 0.003930 0.001634 
 0.003960 0.000020 0.003960 0.001514 
 0.003990 0.000027 0.003990 0.001534 
 0.004020 0.000026 0.004020 0.001452 
 0.004050 0.000030 0.004050 0.001477 
 0.004080 0.000030 0.004080 0.001384 
 0.004110 0.000030 0.004110 0.001355 
 0.004140 0.000019 0.004140 0.001376 
 0.004170 0.000024 0.004170 0.001340 
 0.004200 0.000029 0.004200 0.001202 
 0.004230 0.000029 0.004230 0.001236 
 0.004260 0.000020 0.004260 0.001210 
 0.004290 0.000027 0.004290 0.001163 
 0.004320 0.000028 0.004320 0.001110 
 0.004350 0.000033 0.004350 0.001097 
 0.004380 0.000040 0.004380 0.001080 
 0.004410 0.000028 0.004410 0.001041 
 0.004440 0.000023 0.004440 0.000998 
 0.004470 0.000029 0.004470 0.001018 
 0.004500 0.000033 0.004500 0.000952 
 0.004530 0.000020 0.004530 0.000958 
 0.004560 0.000040 0.004560 0.000900 
 0.004590 0.000037 0.004590 0.000870 
 0.004620 0.000045 0.004620 0.000922 
 0.004650 0.000040 0.004650 0.000873 
 0.004680 0.000043 0.004680 0.000829 
 0.004710 0.000043 0.004710 0.000832 
 0.004740 0.000038 0.004740 0.000861 
 0.004770 0.000040 0.004770 0.000761 
 0.004800 0.000045 0.004800 0.000779 
 0.004830 0.000047 0.004830 0.000800 
 0.004860 0.000051 0.004860 0.000764 
 0.004890 0.000056 0.004890 0.000737 
 0.004920 0.000049 0.004920 0.000734 
 0.004950 0.000041 0.004950 0.000704 
 0.004980 0.000056 0.004980 0.000711 
 0.005010 0.000054 0.005010 0.000712 
 0.005040 0.000059 0.005040 0.000701 
 0.005070 0.000049 0.005070 0.000716 
 0.005100 0.000045 0.005100 0.000651 
 0.005130 0.000056 0.005130 0.000662 
 0.005160 0.000069 0.005160 0.000658 
 0.005190 0.000056 0.005190 0.000674 
 0.005220 0.000066 0.005220 0.000645 
 0.005250 0.000059 0.005250 0.000629 
 0.005280 0.000059 0.005280 0.000629 
 0.005310 0.000054 0.005310 0.000637 
 0.005340 0.000066 0.005340 0.000615 
 0.005370 0.000083 0.005370 0.000598 
 0.005400 0.000056 0.005400 0.000642 
 0.005430 0.000056 0.005430 0.000603 
