#rbin[i] Nr[i] lbin[i] Nl[i]
 0.000674 0.022751 -4.187304 0.000002 
 0.010333 0.977195 -4.174857 0.000000 
 0.019993 0.000004 -4.162409 0.000000 
 0.029652 0.000002 -4.149962 0.000000 
 0.039312 0.000000 -4.137515 0.000000 
 0.048971 0.000000 -4.125068 0.000000 
 0.058630 0.000000 -4.112621 0.000000 
 0.068290 0.000000 -4.100174 0.000000 
 0.077949 0.000000 -4.087727 0.000000 
 0.087609 0.000000 -4.075280 0.000000 
 0.097268 0.000000 -4.062833 0.000000 
 0.106927 0.000002 -4.050385 0.000000 
 0.116587 0.000000 -4.037939 0.000000 
 0.126246 0.000000 -4.025491 0.000000 
 0.135906 0.000000 -4.013044 0.000000 
 0.145565 0.000000 -4.000597 0.000000 
 0.155224 0.000000 -3.988150 0.000000 
 0.164884 0.000000 -3.975703 0.000000 
 0.174543 0.000000 -3.963256 0.000000 
 0.184202 0.000000 -3.950809 0.000000 
 0.193862 0.000000 -3.938362 0.000000 
 0.203521 0.000000 -3.925915 0.000000 
 0.213181 0.000000 -3.913468 0.000000 
 0.222840 0.000002 -3.901021 0.000000 
 0.232499 0.000002 -3.888573 0.000000 
 0.242159 0.000000 -3.876126 0.000000 
 0.251818 0.000000 -3.863679 0.000000 
 0.261478 0.000000 -3.851232 0.000000 
 0.271137 0.000000 -3.838785 0.000000 
 0.280796 0.000000 -3.826338 0.000000 
 0.290456 0.000002 -3.813891 0.000000 
 0.300115 0.000000 -3.801444 0.000000 
 0.309774 0.000000 -3.788997 0.000000 
 0.319434 0.000000 -3.776550 0.000000 
 0.329093 0.000000 -3.764102 0.000000 
 0.338753 0.000000 -3.751655 0.000000 
 0.348412 0.000000 -3.739208 0.000000 
 0.358071 0.000000 -3.726761 0.000000 
 0.367731 0.000000 -3.714314 0.000000 
 0.377390 0.000000 -3.701867 0.000000 
 0.387050 0.000000 -3.689420 0.000000 
 0.396709 0.000000 -3.676973 0.000000 
 0.406368 0.000000 -3.664526 0.000000 
 0.416028 0.000000 -3.652079 0.000000 
 0.425687 0.000000 -3.639632 0.000000 
 0.435347 0.000000 -3.627184 0.000000 
 0.445006 0.000000 -3.614738 0.000000 
 0.454665 0.000000 -3.602290 0.000000 
 0.464325 0.000000 -3.589843 0.000000 
 0.473984 0.000000 -3.577396 0.000000 
 0.483643 0.000000 -3.564949 0.000000 
 0.493303 0.000000 -3.552502 0.000000 
 0.502962 0.000000 -3.540055 0.000000 
 0.512622 0.000000 -3.527608 0.000000 
 0.522281 0.000000 -3.515161 0.000000 
 0.531940 0.000000 -3.502714 0.000000 
 0.541600 0.000000 -3.490267 0.000000 
 0.551259 0.000000 -3.477819 0.000000 
 0.560919 0.000000 -3.465372 0.000000 
 0.570578 0.000000 -3.452925 0.000000 
 0.580237 0.000000 -3.440478 0.000000 
 0.589897 0.000000 -3.428031 0.000000 
 0.599556 0.000000 -3.415584 0.000000 
 0.609215 0.000002 -3.403137 0.000000 
 0.618875 0.000000 -3.390690 0.000000 
 0.628534 0.000000 -3.378243 0.000000 
 0.638194 0.000000 -3.365796 0.000000 
 0.647853 0.000000 -3.353348 0.000000 
 0.657512 0.000000 -3.340901 0.000000 
 0.667172 0.000000 -3.328454 0.000000 
 0.676831 0.000000 -3.316007 0.000000 
 0.686491 0.000000 -3.303560 0.000000 
 0.696150 0.000000 -3.291113 0.000000 
 0.705809 0.000002 -3.278666 0.000000 
 0.715469 0.000000 -3.266219 0.000000 
 0.725128 0.000000 -3.253772 0.000000 
 0.734788 0.000000 -3.241325 0.000000 
 0.744447 0.000000 -3.228878 0.000000 
 0.754106 0.000000 -3.216431 0.000000 
 0.763766 0.000000 -3.203983 0.000000 
 0.773425 0.000000 -3.191536 0.000000 
 0.783085 0.000000 -3.179089 0.000000 
 0.792744 0.000000 -3.166642 0.000000 
 0.802403 0.000000 -3.154195 0.000000 
 0.812063 0.000000 -3.141748 0.000000 
 0.821722 0.000000 -3.129301 0.000000 
 0.831381 0.000000 -3.116854 0.000000 
 0.841041 0.000000 -3.104407 0.000000 
 0.850700 0.000000 -3.091959 0.000000 
 0.860360 0.000000 -3.079513 0.000000 
 0.870019 0.000000 -3.067065 0.000000 
 0.879678 0.000000 -3.054618 0.000000 
 0.889338 0.000000 -3.042171 0.000000 
 0.898997 0.000000 -3.029724 0.000000 
 0.908657 0.000000 -3.017277 0.000002 
 0.918316 0.000000 -3.004830 0.000000 
 0.927975 0.000000 -2.992383 0.000000 
 0.937635 0.000000 -2.979936 0.000000 
 0.947294 0.000000 -2.967489 0.000000 
 0.956953 0.000000 -2.955042 0.000000 
 0.966613 0.000000 -2.942595 0.000000 
 0.976272 0.000000 -2.930147 0.000000 
 0.985932 0.000000 -2.917700 0.000000 
 0.995591 0.000000 -2.905253 0.000000 
 1.005250 0.000000 -2.892806 0.000000 
