#rbin[i] Nr[i] lbin[i] Nl[i]
 0.000000 0.000000 0.000000 0.000015 
 0.000030 0.000000 0.000030 0.000041 
 0.000060 0.000000 0.000060 0.000045 
 0.000090 0.000000 0.000090 0.000073 
 0.000120 0.000000 0.000120 0.000080 
 0.000150 0.000000 0.000150 0.000092 
 0.000180 0.000000 0.000180 0.000113 
 0.000210 0.000000 0.000210 0.000104 
 0.000240 0.000000 0.000240 0.000143 
 0.000270 0.000000 0.000270 0.000081 
 0.000300 0.000000 0.000300 0.000120 
 0.000330 0.000000 0.000330 0.000140 
 0.000360 0.000000 0.000360 0.000117 
 0.000390 0.000000 0.000390 0.000116 
 0.000420 0.000000 0.000420 0.000152 
 0.000450 0.000000 0.000450 0.000143 
 0.000480 0.000000 0.000480 0.000127 
 0.000510 0.000000 0.000510 0.000132 
 0.000540 0.000000 0.000540 0.000125 
 0.000570 0.000000 0.000570 0.000181 
 0.000600 0.000000 0.000600 0.000151 
 0.000630 0.000000 0.000630 0.000128 
 0.000660 0.000000 0.000660 0.000137 
 0.000690 0.000000 0.000690 0.000144 
 0.000720 0.000000 0.000720 0.000145 
 0.000750 0.000000 0.000750 0.000160 
 0.000780 0.000000 0.000780 0.000147 
 0.000810 0.000000 0.000810 0.000152 
 0.000840 0.000000 0.000840 0.000143 
 0.000870 0.000000 0.000870 0.000151 
 0.000900 0.000000 0.000900 0.000132 
 0.000930 0.000000 0.000930 0.000159 
 0.000960 0.000000 0.000960 0.000141 
 0.000990 0.000000 0.000990 0.000173 
 0.001020 0.000000 0.001020 0.000188 
 0.001050 0.000000 0.001050 0.000153 
 0.001080 0.000000 0.001080 0.000177 
 0.001110 0.000000 0.001110 0.000147 
 0.001140 0.000001 0.001140 0.000157 
 0.001170 0.000000 0.001170 0.000121 
 0.001200 0.000000 0.001200 0.000161 
 0.001230 0.000000 0.001230 0.000180 
 0.001260 0.000000 0.001260 0.000196 
 0.001290 0.000000 0.001290 0.000175 
 0.001320 0.000000 0.001320 0.000168 
 0.001350 0.000000 0.001350 0.000189 
 0.001380 0.000000 0.001380 0.000149 
 0.001410 0.000000 0.001410 0.000189 
 0.001440 0.000000 0.001440 0.000184 
 0.001470 0.000000 0.001470 0.000155 
 0.001500 0.000000 0.001500 0.000204 
 0.001530 0.000000 0.001530 0.000169 
 0.001560 0.000000 0.001560 0.000188 
 0.001590 0.000001 0.001590 0.000188 
 0.001620 0.000000 0.001620 0.000181 
 0.001650 0.000001 0.001650 0.000175 
 0.001680 0.000000 0.001680 0.000187 
 0.001710 0.000003 0.001710 0.000196 
 0.001740 0.000000 0.001740 0.000188 
 0.001770 0.000000 0.001770 0.000204 
 0.001800 0.000000 0.001800 0.000192 
 0.001830 0.000000 0.001830 0.000175 
 0.001860 0.000001 0.001860 0.000201 
 0.001890 0.000000 0.001890 0.000204 
 0.001920 0.000000 0.001920 0.000211 
 0.001950 0.000000 0.001950 0.000196 
 0.001980 0.000000 0.001980 0.000213 
 0.002010 0.000001 0.002010 0.000227 
 0.002040 0.000000 0.002040 0.000233 
 0.002070 0.000000 0.002070 0.000216 
 0.002100 0.000000 0.002100 0.000217 
 0.002130 0.000001 0.002130 0.000219 
 0.002160 0.000001 0.002160 0.000228 
 0.002190 0.000000 0.002190 0.000212 
 0.002220 0.000001 0.002220 0.000237 
 0.002250 0.000000 0.002250 0.000252 
 0.002280 0.000001 0.002280 0.000225 
 0.002310 0.000001 0.002310 0.000240 
 0.002340 0.000000 0.002340 0.000231 
 0.002370 0.000001 0.002370 0.000223 
 0.002400 0.000003 0.002400 0.000272 
 0.002430 0.000005 0.002430 0.000249 
 0.002460 0.000000 0.002460 0.000271 
 0.002490 0.000005 0.002490 0.000240 
 0.002520 0.000004 0.002520 0.000243 
 0.002550 0.000001 0.002550 0.000296 
 0.002580 0.000003 0.002580 0.000260 
 0.002610 0.000001 0.002610 0.000268 
 0.002640 0.000003 0.002640 0.000265 
 0.002670 0.000003 0.002670 0.000251 
 0.002700 0.000004 0.002700 0.000264 
 0.002730 0.000007 0.002730 0.000289 
 0.002760 0.000000 0.002760 0.000289 
 0.002790 0.000004 0.002790 0.000283 
 0.002820 0.000007 0.002820 0.000268 
 0.002850 0.000005 0.002850 0.000271 
 0.002880 0.000007 0.002880 0.000255 
 0.002910 0.000011 0.002910 0.000293 
 0.002940 0.000011 0.002940 0.000273 
 0.002970 0.000009 0.002970 0.000291 
 0.003000 0.000015 0.003000 0.000251 
 0.003030 0.000015 0.003030 0.000272 
 0.003060 0.000017 0.003060 0.000285 
