#rbin[i] Nr[i] lbin[i] Nl[i]
 0.000000 0.000000 0.000000 0.000026 
 0.000030 0.000000 0.000030 0.000096 
 0.000060 0.000000 0.000060 0.000157 
 0.000090 0.000000 0.000090 0.000197 
 0.000120 0.000000 0.000120 0.000272 
 0.000150 0.000000 0.000150 0.000298 
 0.000180 0.000000 0.000180 0.000359 
 0.000210 0.000000 0.000210 0.000431 
 0.000240 0.000000 0.000240 0.000463 
 0.000270 0.000000 0.000270 0.000505 
 0.000300 0.000000 0.000300 0.000577 
 0.000330 0.000000 0.000330 0.000607 
 0.000360 0.000000 0.000360 0.000606 
 0.000390 0.000000 0.000390 0.000666 
 0.000420 0.000000 0.000420 0.000729 
 0.000450 0.000000 0.000450 0.000754 
 0.000480 0.000000 0.000480 0.000765 
 0.000510 0.000000 0.000510 0.000796 
 0.000540 0.000000 0.000540 0.000859 
 0.000570 0.000000 0.000570 0.000823 
 0.000600 0.000000 0.000600 0.000903 
 0.000630 0.000000 0.000630 0.000869 
 0.000660 0.000000 0.000660 0.000914 
 0.000690 0.000000 0.000690 0.000946 
 0.000720 0.000000 0.000720 0.000961 
 0.000750 0.000000 0.000750 0.000968 
 0.000780 0.000000 0.000780 0.001010 
 0.000810 0.000000 0.000810 0.000982 
 0.000840 0.000000 0.000840 0.001037 
 0.000870 0.000000 0.000870 0.001032 
 0.000900 0.000000 0.000900 0.001032 
 0.000930 0.000000 0.000930 0.001112 
 0.000960 0.000000 0.000960 0.001137 
 0.000990 0.000000 0.000990 0.001074 
 0.001020 0.000000 0.001020 0.001169 
 0.001050 0.000000 0.001050 0.001139 
 0.001080 0.000000 0.001080 0.001174 
 0.001110 0.000000 0.001110 0.001201 
 0.001140 0.000000 0.001140 0.001146 
 0.001170 0.000000 0.001170 0.001235 
 0.001200 0.000000 0.001200 0.001259 
 0.001230 0.000000 0.001230 0.001243 
 0.001260 0.000000 0.001260 0.001283 
 0.001290 0.000000 0.001290 0.001300 
 0.001320 0.000000 0.001320 0.001291 
 0.001350 0.000000 0.001350 0.001386 
 0.001380 0.000000 0.001380 0.001345 
 0.001410 0.000000 0.001410 0.001387 
 0.001440 0.000000 0.001440 0.001402 
 0.001470 0.000000 0.001470 0.001396 
 0.001500 0.000000 0.001500 0.001437 
 0.001530 0.000000 0.001530 0.001412 
 0.001560 0.000000 0.001560 0.001423 
 0.001590 0.000000 0.001590 0.001475 
 0.001620 0.000000 0.001620 0.001465 
 0.001650 0.000000 0.001650 0.001464 
 0.001680 0.000000 0.001680 0.001532 
 0.001710 0.000000 0.001710 0.001493 
 0.001740 0.000000 0.001740 0.001494 
 0.001770 0.000000 0.001770 0.001496 
 0.001800 0.000000 0.001800 0.001540 
 0.001830 0.000000 0.001830 0.001466 
 0.001860 0.000000 0.001860 0.001519 
 0.001890 0.000000 0.001890 0.001500 
 0.001920 0.000000 0.001920 0.001501 
 0.001950 0.000000 0.001950 0.001485 
 0.001980 0.000000 0.001980 0.001447 
 0.002010 0.000000 0.002010 0.001440 
 0.002040 0.000000 0.002040 0.001461 
 0.002070 0.000000 0.002070 0.001393 
 0.002100 0.000000 0.002100 0.001409 
 0.002130 0.000000 0.002130 0.001364 
 0.002160 0.000000 0.002160 0.001369 
 0.002190 0.000000 0.002190 0.001365 
 0.002220 0.000000 0.002220 0.001279 
 0.002250 0.000000 0.002250 0.001271 
 0.002280 0.000000 0.002280 0.001262 
 0.002310 0.000000 0.002310 0.001217 
 0.002340 0.000000 0.002340 0.001174 
 0.002370 0.000000 0.002370 0.001153 
 0.002400 0.000000 0.002400 0.001117 
 0.002430 0.000000 0.002430 0.001113 
 0.002460 0.000000 0.002460 0.001076 
 0.002490 0.000000 0.002490 0.001047 
 0.002520 0.000000 0.002520 0.001027 
 0.002550 0.000000 0.002550 0.001029 
 0.002580 0.000000 0.002580 0.000968 
 0.002610 0.000000 0.002610 0.000933 
 0.002640 0.000000 0.002640 0.000923 
 0.002670 0.000000 0.002670 0.000880 
 0.002700 0.000000 0.002700 0.000891 
 0.002730 0.000000 0.002730 0.000852 
 0.002760 0.000000 0.002760 0.000808 
 0.002790 0.000000 0.002790 0.000794 
 0.002820 0.000000 0.002820 0.000778 
 0.002850 0.000000 0.002850 0.000797 
 0.002880 0.000000 0.002880 0.000709 
 0.002910 0.000000 0.002910 0.000712 
 0.002940 0.000000 0.002940 0.000694 
 0.002970 0.000000 0.002970 0.000689 
 0.003000 0.000000 0.003000 0.000656 
 0.003030 0.000000 0.003030 0.000631 
 0.003060 0.000000 0.003060 0.000619 
 0.003090 0.000000 0.003090 0.000590 
 0.003120 0.000000 0.003120 0.000626 
 0.003150 0.000000 0.003150 0.000568 
 0.003180 0.000000 0.003180 0.000622 
 0.003210 0.000000 0.003210 0.000551 
 0.003240 0.000000 0.003240 0.000573 
 0.003270 0.000000 0.003270 0.000578 
 0.003300 0.000000 0.003300 0.000569 
 0.003330 0.000000 0.003330 0.000524 
 0.003360 0.000000 0.003360 0.000565 
 0.003390 0.000000 0.003390 0.000538 
 0.003420 0.000000 0.003420 0.000533 
 0.003450 0.000000 0.003450 0.000559 
 0.003480 0.000000 0.003480 0.000554 
 0.003510 0.000000 0.003510 0.000537 
 0.003540 0.000000 0.003540 0.000523 
 0.003570 0.000000 0.003570 0.000556 
 0.003600 0.000000 0.003600 0.000535 
 0.003630 0.000000 0.003630 0.000554 
 0.003660 0.000000 0.003660 0.000546 
 0.003690 0.000000 0.003690 0.000571 
 0.003720 0.000000 0.003720 0.000571 
 0.003750 0.000000 0.003750 0.000585 
 0.003780 0.000000 0.003780 0.000565 
 0.003810 0.000000 0.003810 0.000593 
 0.003840 0.000000 0.003840 0.000617 
 0.003870 0.000000 0.003870 0.000605 
 0.003900 0.000000 0.003900 0.000612 
 0.003930 0.000000 0.003930 0.000633 
 0.003960 0.000000 0.003960 0.000647 
 0.003990 0.000000 0.003990 0.000650 
 0.004020 0.000000 0.004020 0.000676 
 0.004050 0.000000 0.004050 0.000658 
 0.004080 0.000000 0.004080 0.000693 
 0.004110 0.000000 0.004110 0.000668 
 0.004140 0.000000 0.004140 0.000732 
 0.004170 0.000000 0.004170 0.000728 
 0.004200 0.000000 0.004200 0.000728 
 0.004230 0.000000 0.004230 0.000740 
 0.004260 0.000000 0.004260 0.000770 
 0.004290 0.000000 0.004290 0.000773 
 0.004320 0.000000 0.004320 0.000797 
 0.004350 0.000000 0.004350 0.000817 
 0.004380 0.000000 0.004380 0.000856 
 0.004410 0.000000 0.004410 0.000815 
 0.004440 0.000000 0.004440 0.000833 
 0.004470 0.000000 0.004470 0.000867 
 0.004500 0.000000 0.004500 0.000912 
 0.004530 0.000000 0.004530 0.000848 
 0.004560 0.000000 0.004560 0.000858 
 0.004590 0.000000 0.004590 0.000927 
 0.004620 0.000000 0.004620 0.000903 
 0.004650 0.000000 0.004650 0.000890 
 0.004680 0.000000 0.004680 0.000926 
 0.004710 0.000000 0.004710 0.000887 
 0.004740 0.000000 0.004740 0.000884 
 0.004770 0.000000 0.004770 0.000918 
 0.004800 0.000002 0.004800 0.000899 
 0.004830 0.000001 0.004830 0.000875 
 0.004860 0.000005 0.004860 0.000867 
 0.004890 0.000007 0.004890 0.000842 
 0.004920 0.000005 0.004920 0.000830 
 0.004950 0.000005 0.004950 0.000856 
 0.004980 0.000005 0.004980 0.000792 
 0.005010 0.000004 0.005010 0.000791 
 0.005040 0.000008 0.005040 0.000777 
 0.005070 0.000007 0.005070 0.000758 
 0.005100 0.000009 0.005100 0.000769 
 0.005130 0.000011 0.005130 0.000690 
